Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2000,1,601.467,,,600.990,,,,,,,,,,,600.623,0
2000,2,601.129,,,600.687,,,,,,,,,,,600.318,0
2000,3,601.184,,,600.688,,,,,,,,,,,600.295,0
2000,4,601.542,,,600.834,,,,,,,,,,,600.417,0
2000,5,601.480,,,600.956,,,,,,,,,,,600.528,0
2000,6,601.827,,,601.220,,,,,,,,,,,600.482,0
2000,7,601.791,,,601.523,,,,,,,,,,,601.247,0
2000,8,601.781,,,601.443,,,,,,,,,,,600.942,0
2000,9,601.870,,,601.324,,,,,,,,,,,600.732,0
2000,10,601.539,,,601.097,,,,,,,,,,,600.846,0
2000,11,601.391,,,600.937,,,,,,,,,,,600.659,0
2000,12,601.053,,,600.683,,,,,,,,,,,600.331,0
2001,1,600.787,,,600.396,,,,,,,,,,,600.033,0
2001,2,600.817,,,600.257,,,,,,,,,,,599.911,0
2001,3,600.525,,,600.149,,,,,,,,,,,599.941,0
2001,4,601.332,,,600.456,,,,,,,,,,,599.836,0
2001,5,601.667,,,601.196,,,,,,,,,,,600.732,0
2001,6,601.998,,,601.490,,,,,,,,,,,601.132,0
2001,7,601.886,,,601.605,,,,,,,,,,,601.312,0
2001,8,602.139,,,601.723,,,,,,,,,,,601.250,0
2001,9,601.985,,,601.658,,,,,,,,,,,601.342,0
2001,10,601.972,,,601.426,,,,,,,,,,,601.083,0
2001,11,601.850,,,601.387,,,,,,,,,,,601.096,0
2001,12,601.824,,,601.419,,,,,,,,,,,601.063,0
2002,1,601.499,,,601.187,,,,,,,,,,,600.689,0
2002,2,601.444,,,600.964,,,,,,,,,,,600.558,0
2002,3,601.421,,,600.821,,,,,,,,,,,600.469,0
2002,4,601.516,,,600.884,,,,,,,,,,,600.203,0
2002,5,601.726,,,601.269,,,,,,,,,,,600.797,0
2002,6,602.060,,,601.441,,,,,,,,,,,601.093,0
2002,7,601.926,,,601.606,,,,,,,,,,,601.204,0
2002,8,602.402,,,601.751,,,,,,,,,,,601.234,0
2002,9,602.175,,,601.796,,,,,,,,,,,601.529,0
2002,10,602.293,,,601.904,,,,,,,,,,,601.614,0
2002,11,601.946,,,601.638,,,,,,,,,,,601.198,0
2002,12,601.722,,,601.283,,,,,,,,,,,600.928,0
2003,1,601.365,,,601.017,,,,,,,,,,,600.515,0
2003,2,601.227,,,600.706,,,,,,,,,,,600.348,0
2003,3,601.076,,,600.548,,,,,,,,,,,600.230,0
2003,4,601.112,,,600.668,,,,,,,,,,,600.171,0
2003,5,601.358,,,601.032,,,,,,,,,,,600.653,0
2003,6,601.480,,,601.172,,,,,,,,,,,600.722,0
2003,7,601.591,,,601.296,,,,,,,,,,,600.925,0
2003,8,601.611,,,601.374,,,,,,,,,,,601.001,0
